열1,열2,열3,열4,열5,열6,열7
145,TestControllerAgent_MissReward(Clone),1,4,12,2,0
145,TestTotalAgent_MissReward(Clone),0,2,13,4,1
146,TestControllerAgent_MissReward(Clone),1,4,9,3,0
146,TestTotalAgent_MissReward(Clone),0,3,10,4,1
147,TestControllerAgent_MissReward(Clone),0,2,6,4,1
147,TestTotalAgent_MissReward(Clone),1,4,5,2,0
148,TestControllerAgent_MissReward(Clone),1,4,10,0,0
148,TestTotalAgent_MissReward(Clone),0,0,12,4,1
149,TestControllerAgent_MissReward(Clone),0,0,5,4,1
149,TestTotalAgent_MissReward(Clone),1,4,9,0,0
150,TestControllerAgent_MissReward(Clone),1,4,31,1,0
150,TestTotalAgent_MissReward(Clone),0,1,43,4,1
151,TestControllerAgent_MissReward(Clone),1,4,8,1,0
151,TestTotalAgent_MissReward(Clone),0,1,11,4,1
152,TestControllerAgent_MissReward(Clone),1,4,4,2,0
152,TestTotalAgent_MissReward(Clone),0,2,6,4,1
153,TestControllerAgent_MissReward(Clone),0,2,9,4,1
153,TestTotalAgent_MissReward(Clone),1,4,15,2,0
154,TestControllerAgent_MissReward(Clone),1,4,39,1,0
154,TestTotalAgent_MissReward(Clone),0,1,57,4,1
155,TestControllerAgent_MissReward(Clone),1,4,6,3,0
155,TestTotalAgent_MissReward(Clone),0,3,6,4,1
156,TestControllerAgent_MissReward(Clone),0,1,23,4,1
156,TestTotalAgent_MissReward(Clone),1,4,35,1,0
157,TestControllerAgent_MissReward(Clone),1,4,6,3,0
157,TestTotalAgent_MissReward(Clone),0,3,17,4,1
158,TestControllerAgent_MissReward(Clone),1,4,3,1,0
158,TestTotalAgent_MissReward(Clone),0,1,9,4,1
159,TestControllerAgent_MissReward(Clone),0,3,59,4,1
159,TestTotalAgent_MissReward(Clone),1,4,75,3,0
160,TestControllerAgent_MissReward(Clone),1,4,9,2,0
160,TestTotalAgent_MissReward(Clone),0,2,15,4,1
161,TestControllerAgent_MissReward(Clone),0,2,5,4,1
161,TestTotalAgent_MissReward(Clone),1,4,4,2,0
162,TestControllerAgent_MissReward(Clone),1,4,6,2,0
162,TestTotalAgent_MissReward(Clone),0,2,7,4,1
163,TestControllerAgent_MissReward(Clone),1,4,10,2,0
163,TestTotalAgent_MissReward(Clone),0,2,26,4,1
164,TestControllerAgent_MissReward(Clone),1,4,11,2,0
164,TestTotalAgent_MissReward(Clone),0,2,14,4,1
165,TestControllerAgent_MissReward(Clone),1,4,2,1,0
165,TestTotalAgent_MissReward(Clone),0,1,5,4,1
166,TestControllerAgent_MissReward(Clone),1,4,6,0,0
166,TestTotalAgent_MissReward(Clone),0,0,9,4,1
167,TestControllerAgent_MissReward(Clone),1,4,12,0,0
167,TestTotalAgent_MissReward(Clone),0,0,16,4,1
168,TestControllerAgent_MissReward(Clone),1,4,4,1,0
168,TestTotalAgent_MissReward(Clone),0,1,7,4,1
169,TestControllerAgent_MissReward(Clone),1,4,35,3,0
169,TestTotalAgent_MissReward(Clone),0,3,47,4,1
170,TestControllerAgent_MissReward(Clone),1,4,22,2,0
170,TestTotalAgent_MissReward(Clone),0,2,23,4,1
171,TestControllerAgent_MissReward(Clone),1,4,10,0,0
171,TestTotalAgent_MissReward(Clone),0,0,14,4,1
172,TestControllerAgent_MissReward(Clone),1,4,84,3,0
172,TestTotalAgent_MissReward(Clone),0,3,107,4,1
173,TestControllerAgent_MissReward(Clone),0,1,95,4,1
173,TestTotalAgent_MissReward(Clone),1,4,108,1,0
174,TestControllerAgent_MissReward(Clone),0,2,8,4,1
174,TestTotalAgent_MissReward(Clone),1,4,15,2,0
175,TestControllerAgent_MissReward(Clone),1,4,13,1,0
175,TestTotalAgent_MissReward(Clone),0,1,34,4,1
176,TestControllerAgent_MissReward(Clone),1,4,25,0,0
176,TestTotalAgent_MissReward(Clone),0,0,45,4,1
177,TestControllerAgent_MissReward(Clone),1,4,54,1,0
177,TestTotalAgent_MissReward(Clone),0,1,66,4,1
178,TestControllerAgent_MissReward(Clone),1,4,6,0,0
178,TestTotalAgent_MissReward(Clone),0,0,10,4,1
179,TestControllerAgent_MissReward(Clone),1,4,8,0,0
179,TestTotalAgent_MissReward(Clone),0,0,12,4,1
180,TestControllerAgent_MissReward(Clone),1,4,14,3,0
180,TestTotalAgent_MissReward(Clone),0,3,21,4,1
181,TestControllerAgent_MissReward(Clone),0,3,89,4,1
181,TestTotalAgent_MissReward(Clone),1,4,89,3,0
182,TestControllerAgent_MissReward(Clone),1,4,73,0,0
182,TestTotalAgent_MissReward(Clone),0,0,80,4,1
183,TestControllerAgent_MissReward(Clone),1,4,4,0,0
183,TestTotalAgent_MissReward(Clone),0,0,11,4,1
184,TestControllerAgent_MissReward(Clone),1,4,5,1,0
184,TestTotalAgent_MissReward(Clone),0,1,7,4,1
185,TestControllerAgent_MissReward(Clone),0,0,5,4,1
185,TestTotalAgent_MissReward(Clone),1,4,13,0,0
186,TestControllerAgent_MissReward(Clone),0,1,3,4,1
186,TestTotalAgent_MissReward(Clone),1,4,10,1,0
187,TestControllerAgent_MissReward(Clone),1,4,27,0,0
187,TestTotalAgent_MissReward(Clone),0,0,29,4,1
188,TestControllerAgent_MissReward(Clone),1,4,8,3,0
188,TestTotalAgent_MissReward(Clone),0,3,9,4,1
189,TestControllerAgent_MissReward(Clone),1,4,3,1,0
189,TestTotalAgent_MissReward(Clone),0,1,6,4,1
190,TestControllerAgent_MissReward(Clone),0,2,8,4,1
190,TestTotalAgent_MissReward(Clone),1,4,11,2,0
191,TestControllerAgent_MissReward(Clone),0,3,17,4,1
191,TestTotalAgent_MissReward(Clone),1,4,25,3,0
192,TestControllerAgent_MissReward(Clone),1,4,33,1,0
192,TestTotalAgent_MissReward(Clone),0,1,45,4,1
193,TestControllerAgent_MissReward(Clone),0,2,3,4,1
193,TestTotalAgent_MissReward(Clone),1,4,22,2,0
194,TestControllerAgent_MissReward(Clone),1,4,3,0,0
194,TestTotalAgent_MissReward(Clone),0,0,5,4,1
195,TestControllerAgent_MissReward(Clone),1,4,4,1,0
195,TestTotalAgent_MissReward(Clone),0,1,7,4,1
196,TestControllerAgent_MissReward(Clone),1,4,8,1,0
196,TestTotalAgent_MissReward(Clone),0,1,10,4,1
197,TestControllerAgent_MissReward(Clone),1,4,5,0,0
197,TestTotalAgent_MissReward(Clone),0,0,9,4,1
198,TestControllerAgent_MissReward(Clone),1,4,6,3,0
198,TestTotalAgent_MissReward(Clone),0,3,7,4,1
199,TestControllerAgent_MissReward(Clone),1,4,3,1,0
199,TestTotalAgent_MissReward(Clone),0,1,5,4,1
200,TestControllerAgent_MissReward(Clone),0,3,56,4,1
200,TestTotalAgent_MissReward(Clone),1,4,59,3,0
201,TestControllerAgent_MissReward(Clone),1,4,5,0,0
201,TestTotalAgent_MissReward(Clone),0,0,16,4,1
202,TestControllerAgent_MissReward(Clone),0,2,3,4,1
202,TestTotalAgent_MissReward(Clone),1,4,16,2,0
203,TestControllerAgent_MissReward(Clone),1,4,29,0,0
203,TestTotalAgent_MissReward(Clone),0,0,32,4,1
204,TestControllerAgent_MissReward(Clone),1,4,5,0,0
204,TestTotalAgent_MissReward(Clone),0,0,9,4,1
205,TestControllerAgent_MissReward(Clone),1,4,13,2,0
205,TestTotalAgent_MissReward(Clone),0,2,15,4,1
206,TestControllerAgent_MissReward(Clone),1,4,59,1,0
206,TestTotalAgent_MissReward(Clone),0,1,64,4,1
207,TestControllerAgent_MissReward(Clone),1,4,6,3,0
207,TestTotalAgent_MissReward(Clone),0,3,6,4,1
208,TestControllerAgent_MissReward(Clone),0,0,3,4,1
208,TestTotalAgent_MissReward(Clone),1,4,6,0,0
209,TestControllerAgent_MissReward(Clone),1,4,12,1,0
209,TestTotalAgent_MissReward(Clone),0,1,13,4,1
210,TestControllerAgent_MissReward(Clone),1,4,11,1,0
210,TestTotalAgent_MissReward(Clone),0,1,14,4,1
211,TestControllerAgent_MissReward(Clone),1,4,17,0,0
211,TestTotalAgent_MissReward(Clone),0,0,20,4,1
212,TestControllerAgent_MissReward(Clone),1,4,4,1,0
212,TestTotalAgent_MissReward(Clone),0,1,7,4,1
213,TestControllerAgent_MissReward(Clone),0,2,5,4,1
213,TestTotalAgent_MissReward(Clone),1,4,9,2,0
214,TestControllerAgent_MissReward(Clone),1,4,5,2,0
214,TestTotalAgent_MissReward(Clone),0,2,6,4,1
215,TestControllerAgent_MissReward(Clone),1,4,18,0,0
215,TestTotalAgent_MissReward(Clone),0,0,22,4,1
216,TestControllerAgent_MissReward(Clone),1,4,9,1,0
216,TestTotalAgent_MissReward(Clone),0,1,11,4,1
217,TestControllerAgent_MissReward(Clone),1,4,6,0,0
217,TestTotalAgent_MissReward(Clone),0,0,11,4,1
218,TestControllerAgent_MissReward(Clone),0,3,2,4,1
218,TestTotalAgent_MissReward(Clone),1,4,2,3,0
219,TestControllerAgent_MissReward(Clone),0,2,3,4,1
219,TestTotalAgent_MissReward(Clone),1,4,20,2,0
220,TestControllerAgent_MissReward(Clone),0,2,15,4,1
220,TestTotalAgent_MissReward(Clone),1,4,17,2,0
221,TestControllerAgent_MissReward(Clone),1,4,17,2,0
221,TestTotalAgent_MissReward(Clone),0,2,17,4,1
222,TestControllerAgent_MissReward(Clone),1,4,24,2,0
222,TestTotalAgent_MissReward(Clone),0,2,38,4,1
223,TestControllerAgent_MissReward(Clone),0,1,3,4,1
223,TestTotalAgent_MissReward(Clone),1,4,7,1,0
224,TestControllerAgent_MissReward(Clone),1,4,5,1,0
224,TestTotalAgent_MissReward(Clone),0,1,6,4,1
225,TestControllerAgent_MissReward(Clone),0,2,8,4,1
225,TestTotalAgent_MissReward(Clone),1,4,7,2,0
226,TestControllerAgent_MissReward(Clone),1,4,6,1,0
226,TestTotalAgent_MissReward(Clone),0,1,9,4,1
227,TestControllerAgent_MissReward(Clone),1,4,11,2,0
227,TestTotalAgent_MissReward(Clone),0,2,14,4,1
228,TestControllerAgent_MissReward(Clone),1,4,2,0,0
228,TestTotalAgent_MissReward(Clone),0,0,6,4,1
229,TestControllerAgent_MissReward(Clone),0,3,22,4,1
229,TestTotalAgent_MissReward(Clone),1,4,21,3,0
230,TestControllerAgent_MissReward(Clone),1,4,5,0,0
230,TestTotalAgent_MissReward(Clone),0,0,8,4,1
231,TestControllerAgent_MissReward(Clone),1,4,11,1,0
231,TestTotalAgent_MissReward(Clone),0,1,13,4,1
232,TestControllerAgent_MissReward(Clone),1,4,6,0,0
232,TestTotalAgent_MissReward(Clone),0,0,10,4,1
233,TestControllerAgent_MissReward(Clone),1,4,12,2,0
